,insurance,sms,payment_date,payment_method
0,1,1,2017-12-19 08:20:08,paysafe
1,0,0,2002-10-23 01:24:08,bitcoin
2,0,0,1975-10-31 00:42:57,paysafe
3,1,0,2020-05-07 02:52:28,paypal
4,1,1,2000-10-20 21:18:13,paysafe
5,0,1,1977-11-02 08:18:11,visa
6,0,1,2017-07-16 15:44:32,master-card
7,1,1,2014-11-27 14:30:19,paypal
8,0,0,2004-01-28 04:50:43,master-card
9,1,0,2014-10-24 11:42:55,paysafe
10,1,1,2005-12-08 04:02:32,master-card
11,0,1,1970-02-17 06:24:09,visa
12,1,1,2001-07-01 07:29:02,paysafe
13,1,1,1990-08-04 15:17:35,paypal
14,0,0,1983-03-09 10:56:53,bitcoin
15,1,0,1975-02-13 05:01:51,paysafe
16,0,0,2017-07-13 23:44:05,paypal
17,0,1,2008-03-07 11:46:45,visa
18,1,0,2002-10-09 19:26:51,master-card
19,0,1,1994-12-06 11:34:08,visa
